elapsed_s,rss_mb,uss_mb,handles,threads,cpu_pct,delta_mb,note
44.4,59.4,42.8,558,55,0.0,0.0,
45.4,59.4,42.8,558,55,0.0,0.0,
46.4,59.4,42.8,558,55,0.0,0.0,
47.4,59.4,42.8,558,55,0.0,0.0,
48.4,59.4,42.8,558,55,0.0,0.0,
49.4,59.4,42.8,558,55,0.0,0.0,
50.5,59.4,42.8,558,55,0.0,0.0,
51.5,59.4,42.8,558,55,0.0,0.0,
52.5,59.4,42.8,558,55,0.0,0.0,
53.5,59.4,42.8,558,55,0.0,0.0,
54.5,59.4,42.8,558,55,0.0,0.0,
55.5,59.4,42.8,558,55,0.0,0.0,
56.5,59.4,42.8,558,55,0.0,0.0,
57.5,59.4,42.8,558,55,0.0,0.0,
58.5,59.4,42.8,558,55,0.0,0.0,
59.5,59.4,42.8,557,52,0.0,0.0,
60.5,59.4,42.8,557,52,0.0,0.0,
61.5,59.4,42.8,557,52,0.0,0.0,
62.6,59.4,42.8,557,52,0.0,0.0,
63.6,59.4,42.8,557,52,0.0,0.0,
64.6,59.4,42.8,557,52,0.0,0.0,
65.6,59.4,42.8,557,52,0.0,0.0,
66.6,59.4,42.8,559,52,0.0,0.0,
67.6,59.4,42.8,559,52,0.0,0.0,
68.6,59.4,42.8,559,52,0.0,0.0,
69.6,59.4,42.8,559,52,0.0,0.0,
70.6,59.4,42.8,559,52,0.0,0.0,
71.6,59.4,42.8,559,52,0.0,0.0,
72.6,59.4,42.8,559,52,0.0,0.0,
73.6,59.4,42.8,559,52,0.0,0.0,
74.7,59.4,42.8,559,52,0.0,0.0,
75.7,59.4,42.8,559,52,0.0,0.0,
76.7,59.4,42.8,559,52,0.0,0.0,
77.7,59.4,42.8,559,52,0.0,0.0,
78.7,59.4,42.8,559,52,0.0,0.0,
79.7,59.4,42.8,559,52,0.0,0.0,
80.7,59.4,42.8,559,52,0.0,0.0,
81.7,59.4,42.8,559,52,0.0,0.0,
82.7,59.4,42.8,559,52,0.0,0.0,
83.7,59.4,42.8,559,52,0.0,0.0,
84.7,59.4,42.8,559,52,0.0,0.0,
85.7,59.4,42.8,559,52,0.0,0.0,
86.8,59.4,42.8,559,52,0.0,0.0,
87.8,59.4,42.8,559,52,0.0,0.0,
88.8,59.4,42.8,559,52,0.0,0.0,
89.8,59.4,42.8,559,52,0.0,0.0,
90.8,59.4,42.8,559,52,0.0,0.0,
91.8,59.4,42.8,559,52,0.0,0.0,
92.8,59.4,42.8,559,52,0.0,0.0,
93.8,59.4,42.8,559,52,0.0,0.0,
94.8,59.4,42.8,559,52,0.0,0.0,
95.8,59.4,42.8,559,52,0.0,0.0,
96.8,59.4,42.8,559,52,0.0,0.0,
97.8,59.4,42.8,559,52,0.0,0.0,
98.9,59.4,42.8,559,52,0.0,0.0,
99.9,59.4,42.8,559,52,0.0,0.0,
100.9,59.4,42.8,559,52,0.0,0.0,
101.9,59.4,42.8,559,52,0.0,0.0,
102.9,59.4,42.8,559,52,0.0,0.0,
103.9,59.4,42.8,559,52,0.0,0.0,
104.9,59.4,42.8,559,52,0.0,0.0,
105.9,59.4,42.8,559,52,0.0,0.0,
106.9,59.4,42.8,559,52,0.0,0.0,
107.9,59.4,42.8,559,52,0.0,0.0,
108.9,59.4,42.8,559,52,0.0,0.0,
110.0,59.4,42.8,559,52,0.0,0.0,
111.0,59.4,42.8,559,52,0.0,0.0,
112.0,59.4,42.8,559,52,0.0,0.0,
113.0,59.4,42.8,559,52,0.0,0.0,
114.0,59.4,42.8,559,52,0.0,0.0,
115.0,59.4,42.8,559,52,0.0,0.0,
116.0,59.4,42.8,559,52,0.0,0.0,
117.0,59.4,42.8,559,52,0.0,0.0,
118.0,59.4,42.8,559,52,0.0,0.0,
119.0,59.4,42.8,559,52,0.0,0.0,
120.0,59.4,42.8,559,52,0.0,0.0,
121.0,59.4,42.8,559,52,0.0,0.0,
122.1,59.4,42.8,559,52,0.0,0.0,
123.1,59.4,42.8,559,52,0.0,0.0,
124.1,59.4,42.8,559,52,0.0,0.0,
125.1,59.4,42.8,559,52,0.0,0.0,
126.1,59.4,42.8,559,52,0.0,0.0,
127.1,59.4,42.8,559,52,0.0,0.0,
128.1,59.4,42.8,559,52,0.0,0.0,
129.1,59.5,42.8,559,52,0.0,0.1,
130.1,59.5,42.8,559,52,0.0,0.0,
131.1,59.5,42.8,559,52,0.0,0.0,
132.1,59.5,42.8,559,52,0.0,0.0,
133.2,59.5,42.8,547,49,0.0,0.0,
134.2,59.5,42.8,547,49,0.0,0.0,
135.2,59.5,42.8,547,49,0.0,0.0,
136.2,59.5,42.8,547,49,0.0,0.0,
137.2,59.5,42.8,547,49,0.0,0.0,
138.2,59.5,42.8,547,49,0.0,0.0,
139.2,59.5,42.8,547,49,0.0,0.0,
140.2,59.5,42.8,547,49,0.0,0.0,
141.2,59.5,42.8,547,49,0.0,0.0,
142.2,59.5,42.8,547,49,0.0,0.0,
143.2,59.5,42.8,547,49,0.0,0.0,
144.2,59.5,42.8,547,49,0.0,0.0,
145.3,59.5,42.8,547,49,0.0,0.0,
146.3,59.5,42.8,547,49,0.0,0.0,
147.3,59.5,42.8,547,49,0.0,0.0,
148.3,59.5,42.8,547,49,0.0,0.0,
149.3,59.5,42.8,547,49,0.0,0.0,
150.3,59.5,42.8,547,49,0.0,0.0,
151.3,59.5,42.8,547,49,0.0,0.0,
152.3,59.5,42.8,547,49,0.0,0.0,
153.3,59.5,42.8,547,49,0.0,0.0,
154.3,59.5,42.8,547,49,0.0,0.0,
155.3,59.5,42.8,547,49,0.0,0.0,
156.4,59.5,42.8,547,49,0.0,0.0,
157.4,59.5,42.8,547,49,0.0,0.0,
158.4,59.5,42.8,547,49,0.0,0.0,
159.4,59.7,42.9,548,51,0.0,0.1,
160.4,59.7,42.9,548,51,0.0,0.0,
161.4,59.7,42.9,548,51,0.0,0.0,
162.4,59.7,42.9,548,51,0.0,0.0,
163.4,59.7,42.9,548,51,0.0,0.0,
164.4,59.7,42.9,549,51,0.0,0.0,
165.4,59.7,42.9,549,51,0.0,0.0,
166.4,59.7,42.9,549,51,0.0,0.0,
167.4,59.7,42.9,549,51,0.0,0.0,
168.5,59.7,42.9,549,51,0.0,0.0,
169.5,59.7,42.9,549,51,0.0,0.0,
170.5,59.7,42.9,549,51,0.0,0.0,
171.5,59.7,42.9,549,51,0.0,0.0,
172.5,59.7,42.9,549,51,0.0,0.0,
173.5,59.7,42.9,549,51,0.0,0.0,
174.5,59.7,42.9,549,51,0.0,0.0,
175.5,59.7,42.9,549,51,0.0,0.0,
176.5,59.7,42.9,549,51,0.0,0.0,
177.5,59.7,42.9,549,51,0.0,0.0,
178.5,59.7,42.9,549,51,0.0,0.0,
179.5,59.7,42.9,549,51,0.0,0.0,
180.6,59.7,42.9,549,51,0.0,0.0,
181.6,59.7,42.9,549,51,0.0,0.0,
182.6,59.7,42.9,549,51,0.0,0.0,
183.6,59.7,42.9,548,51,0.0,0.0,
184.6,59.7,42.9,548,51,0.0,0.0,
185.6,59.7,42.9,548,51,0.0,0.0,
